chat_model,fecha/hora,num_reports,macro_f1,micro_f1,HALL_presente_f1,HALL_ausente_f1,CARACT_f1,CUAD_f1,LAT_f1,REG_f1,DENS_f1
gpt-4o-mini,2024-08-08 20:09:46.528408,68,0.8791173641541611,0.8384740259740261,0.8205128205128206,0.9640287769784172,0.7644970414201183,0.9014084507042254,0.8099999999999999,0.9132420091324202,0.9801324503311256
gpt-4o-mini,2024-08-08 21:37:35.633312,68,0.7904405761455227,0.7424749163879599,0.6267281105990783,0.8273381294964028,0.6810673443456162,0.8591549295774648,0.7559055118110236,0.8598130841121495,0.923076923076923
gpt-4o-mini,2024-08-08 22:18:12.373513,68,0.8724770155304375,0.8415079043372518,0.8333333333333334,0.9647887323943662,0.7981651376146789,0.8794326241134751,0.7636363636363637,0.8878504672897196,0.9801324503311256
gpt-4o-mini,2024-08-11 18:28:43.321256,68,0.8786869179264151,0.8488278092158447,0.8364485981308412,0.9747292418772564,0.7976744186046512,0.8592592592592593,0.8059701492537314,0.8968609865470852,0.9798657718120806
llama3.1,2024-08-11 18:50:41.594170,68,0.0405506222448751,0.0374581939799331,0.0176211453744493,0.0219780219780219,0.0499999999999999,0.0232558139534883,0.0258620689655172,0.015267175572519,0.1298701298701298
gpt-4o-mini,2024-08-15 12:03:16.718786,69,0.8821661419166831,0.8450363196125907,0.8578088578088578,0.9822064056939502,0.7747957992998832,0.8732394366197183,0.7880299251870324,0.8990825688073395,1.0
gpt-4o-mini,2024-08-15 12:06:07.763843,69,0.8892357363958003,0.8523002421307506,0.8624708624708625,0.9822064056939502,0.7864644107351225,0.9014084507042254,0.7930174563591023,0.8990825688073395,1.0
gpt-4o-mini,2024-08-15 12:26:26.518721,69,0.8182855411276438,0.7679603633360859,0.6436781609195402,0.8825622775800712,0.7027707808564232,0.906474820143885,0.7648578811369509,0.902654867256637,0.925
gpt-4o-mini,2024-08-15 12:29:28.754373,69,0.8182855411276438,0.7679603633360859,0.6436781609195402,0.8825622775800712,0.7027707808564232,0.906474820143885,0.7648578811369509,0.902654867256637,0.925
gpt-4o-mini,2024-08-15 12:45:14.836227,69,0.8862507692043433,0.8530236283540248,0.8637413394919168,0.9619377162629758,0.7977011494252874,0.9051094890510948,0.7919799498746868,0.8899082568807339,0.9933774834437086
gpt-4o,2024-08-15 16:58:26.847909,69,0.9325021149086242,0.9282576866764276,0.9172259507829978,0.9608540925266904,0.9272183449651048,0.920863309352518,0.9290322580645162,0.8790322580645162,0.9932885906040269
gpt-4o,2024-08-15 17:21:59.999392,69,0.9313932264537296,0.93314058547163,0.930957683741648,0.961672473867596,0.9379310344827586,0.8955223880597014,0.9399141630901288,0.860377358490566,0.9933774834437086
llama3.1,2024-08-15 20:51:10.763105,10,0.7171516817193347,0.7147147147147146,0.5660377358490566,0.7368421052631577,0.7751937984496123,0.6666666666666665,0.6382978723404256,0.689655172413793,0.9473684210526316
llama3.1,2024-08-15 21:24:53.137326,69,0.4993512517324591,0.4812103465104929,0.388235294117647,0.5130434782608696,0.5065274151436031,0.5773195876288659,0.4390243902439025,0.4406779661016949,0.6306306306306306
gpt-4o-mini,2024-08-15 21:51:35.263228,10,0.3517680958811529,0.2635135135135135,0.2025316455696202,0.2,0.0547945205479452,0.7777777777777777,0.4545454545454545,0.2727272727272727,0.5
gpt-4o-mini,2024-08-15 21:57:06.390341,10,0.3517680958811529,0.2635135135135135,0.2025316455696202,0.2,0.0547945205479452,0.7777777777777777,0.4545454545454545,0.2727272727272727,0.5
gpt-4o-mini,2024-08-15 21:58:55.875066,10,0.4346749743129221,0.3243243243243243,0.2253521126760563,0.1111111111111111,0.1686746987951807,0.7777777777777777,0.3902439024390244,0.5,0.8695652173913044
gpt-4o-mini,2024-08-15 22:01:36.796275,10,0.4346749743129221,0.3243243243243243,0.2253521126760563,0.1111111111111111,0.1686746987951807,0.7777777777777777,0.3902439024390244,0.5,0.8695652173913044
gpt-4o-mini,2024-08-15 22:03:48.942088,10,0.6260459482938474,0.5666666666666667,0.4814814814814815,0.7777777777777777,0.4791666666666666,0.8235294117647058,0.52,0.5384615384615384,0.761904761904762
gpt-4o-mini,2024-08-15 22:05:03.840860,10,0.6260459482938474,0.5666666666666667,0.4814814814814815,0.7777777777777777,0.4791666666666666,0.8235294117647058,0.52,0.5384615384615384,0.761904761904762
gpt-4o-mini,2024-08-15 22:07:19.260270,10,0.5572367806838308,0.5634674922600619,0.4745762711864406,0.8333333333333334,0.5818181818181818,0.5555555555555556,0.5490196078431372,0.3846153846153846,0.5217391304347826
gpt-4o-mini,2024-08-15 22:12:30.693142,10,0.6681440565816438,0.605095541401274,0.4827586206896552,0.8571428571428571,0.5,0.9,0.6037735849056604,0.6666666666666666,0.6666666666666666
gpt-4o-mini,2024-08-15 22:26:31.399447,69,0.6421476895692759,0.5760142666072224,0.371501272264631,0.8953068592057762,0.431259044862518,0.8142857142857144,0.6327077747989276,0.6956521739130435,0.6543209876543209
gpt-4o,2024-08-15 22:46:14.904203,69,0.8023126861684942,0.7639774859287056,0.7349665924276169,0.8621908127208481,0.6569178852643419,0.9428571428571428,0.8643006263048018,0.7898550724637682,0.7651006711409396
