chat_model,fecha/hora,num_reports,macro_f1,micro_f1,ubicar_f1,describir_f1
gpt-4o-mini,2024-08-15 17:44:15.662030,10,0.6605011053795137,0.6609442060085837,0.6260869565217392,0.6949152542372882
gpt-4o-mini,2024-08-15 17:49:17.356032,10,0.6605011053795137,0.6609442060085837,0.6260869565217392,0.6949152542372882
gpt-4o-mini,2024-08-15 17:53:14.001716,10,0.743,0.7426160337552743,0.75,0.736
gpt-4o-mini,2024-08-15 17:58:26.819038,10,0.7013513513513514,0.7012987012987012,0.7027027027027026,0.7000000000000001
gpt-4o,2024-08-15 17:59:54.281220,1,0.8131868131868132,0.8,0.8571428571428571,0.7692307692307693
gpt-4o,2024-08-15 18:00:27.541451,1,1.0,1.0,1.0,1.0
gpt-4o,2024-08-15 18:01:26.314956,1,1.0,1.0,1.0,1.0
gpt-4o,2024-08-15 18:04:17.154565,10,0.9704100102305816,0.9736842105263158,0.9484536082474228,0.9923664122137404
gpt-4o,2024-08-15 18:07:47.731487,20,0.9372618235789644,0.93569844789357,0.9484536082474226,0.926070038910506
gpt-4o,2024-08-15 18:20:19.789153,69,0.952295783178136,0.953807740324594,0.938375350140056,0.9662162162162162
gpt-4o,2024-08-15 18:33:18.199646,69,0.922319287427201,0.9228224917309812,0.9160671462829736,0.9285714285714286
gpt-4o,2024-08-15 18:55:44.424173,69,0.9302046837543796,0.9316702819956616,0.9090909090909092,0.9513184584178498
gpt-4o,2024-08-15 19:10:09.071167,69,0.931906512605042,0.9336307863915226,0.907563025210084,0.95625
gpt-4o,2024-08-15 19:12:34.103428,69,0.9324941724941724,0.9341383095499451,0.9090909090909092,0.9558974358974358
gpt-4o-mini,2024-08-15 19:25:42.973940,69,0.7278416319002727,0.7301587301587302,0.6935687263556115,0.7621145374449338
gpt-4o-mini,2024-08-15 19:39:27.755849,69,0.7099398759540119,0.7115044247787611,0.6807980049875311,0.7390817469204927
gpt-4o-mini,2024-08-15 19:52:33.759309,69,0.7099560007489234,0.711352657004831,0.6836734693877551,0.7362385321100918
gpt-4o-mini,2024-08-15 22:53:11.731238,10,0.4175356458821025,0.4201680672268907,0.3783783783783784,0.4566929133858267
gpt-4o-mini,2024-08-15 23:13:28.868586,69,0.342866099545448,0.3394877903513996,0.3949044585987261,0.29082774049217
gpt-4o,2024-08-15 23:27:36.464285,69,0.8321249729538465,0.8331515812431843,0.81786133960047,0.8463886063072229
